title,score,comments,created_utc,date,clean_title,compound,sentiment
wolfSSL releases a new product; wolfCOSE a zero alloc C embbedded COSE stack,105,27,1780173748,2026-05-30 20:42:28,wolfssl releases a new product wolfcose a zero alloc c embbedded cose stack,0.0,neutral
"Jef Raskin, the Visionary Behind the Mac (2013)",114,67,1780170153,2026-05-30 19:42:33,jef raskin the visionary behind the mac,0.5267,positive
CT gov signs AI law to notify employees,11,0,1780245392,2026-05-31 16:36:32,ct gov signs ai law to notify employees,0.0,neutral
"With Claude: Less Coding, More Testing",12,0,1780228614,2026-05-31 11:56:54,with claude less coding more testing,0.0,neutral
Is that song AI-generated? UChicago scientists create tool to check,5,1,1780255362,2026-05-31 19:22:42,is that song aigenerated uchicago scientists create tool to check,0.2732,positive
"Ahoy, DECmate II the little PDP-8 that could",50,10,1780202534,2026-05-31 04:42:14,ahoy decmate ii the little pdp that could,0.0,neutral
"The ""Stars"" of Titanic (2012)",8,0,1780064453,2026-05-29 14:20:53,the stars of titanic,0.0,neutral
Chibil: A C compiler targeting .NET IL,39,4,1780242392,2026-05-31 15:46:32,chibil a c compiler targeting net il,0.0,neutral
I found a seashell in the middle of the desert,405,107,1780022983,2026-05-29 02:49:43,i found a seashell in the middle of the desert,0.0,neutral
Show HN: 500 years of Joseon court omens as an observability dashboard,130,23,1780169016,2026-05-30 19:23:36,show hn years of joseon court omens as an observability dashboard,0.0,neutral
Navier-Stokes fluid simulation explained with Godot game engine,238,30,1779833728,2026-05-26 22:15:28,navierstokes fluid simulation explained with godot game engine,0.0,neutral
Talk Is Cheap: The Operational Impact of LLM Use,24,12,1780245467,2026-05-31 16:37:47,talk is cheap the operational impact of llm use,0.0,neutral
Microcode inside the Intel 8087 floating-point chip: register exchange,122,22,1780162033,2026-05-30 17:27:13,microcode inside the intel floatingpoint chip register exchange,0.0,neutral
WH proposes rules giving political appointees final approval on research grants,271,577,1780105192,2026-05-30 01:39:52,wh proposes rules giving political appointees final approval on research grants,0.7506,positive
Dusklight – GC Twilight Princess Decompiled,112,15,1780172666,2026-05-30 20:24:26,dusklight gc twilight princess decompiled,0.0,neutral
"Netflix Wiz creates app to slash AI bills, then open sources it",8,2,1780254545,2026-05-31 19:09:05,netflix wiz creates app to slash ai bills then open sources it,0.0,neutral
$100 to a Debian Developer who can get Fresh Editor into Trixie,16,3,1780245615,2026-05-31 16:40:15,to a debian developer who can get fresh editor into trixie,0.3182,positive
IXI's autofocusing lenses are almost ready to replace multifocal glasses,198,93,1779908597,2026-05-27 19:03:17,ixis autofocusing lenses are almost ready to replace multifocal glasses,0.2975,positive
86Box v6.0,45,5,1780200232,2026-05-31 04:03:52,box v,0.0,neutral
Please Do Not Vibe Fuck Up This Software,423,378,1780197408,2026-05-31 03:16:48,please do not vibe fuck up this software,0.631,positive
Mysteries of the Griffin iMate,30,6,1779826055,2026-05-26 20:07:35,mysteries of the griffin imate,0.0,neutral
Experimental pill promises new hope for pancreatic cancer,19,0,1780240727,2026-05-31 15:18:47,experimental pill promises new hope for pancreatic cancer,0.0258,neutral
It takes two neurons to ride a bicycle (2004),120,48,1779814315,2026-05-26 16:51:55,it takes two neurons to ride a bicycle,0.0,neutral
What are locusts and what happened to them?,267,70,1779812117,2026-05-26 16:15:17,what are locusts and what happened to them,0.0,neutral
Folding Beijing,31,0,1780239064,2026-05-31 14:51:04,folding beijing,0.0,neutral
"An Elephant Who Demonstrated That Her Species Might Be Self-Aware, Dies at 55",46,0,1780181563,2026-05-30 22:52:43,an elephant who demonstrated that her species might be selfaware dies at,0.0,neutral
"Show HN: Agentpack – isolated config layers for Claude Code, Codex, and OpenCode",4,0,1780237975,2026-05-31 14:32:55,show hn agentpack isolated config layers for claude code codex and opencode,-0.3182,negative
Are 'mind children' the future of reproduction?,4,0,1780253059,2026-05-31 18:44:19,are mind children the future of reproduction,0.0,neutral
AI job grief: A psychological crisis hitting tech workers,182,173,1780152086,2026-05-30 14:41:26,ai job grief a psychological crisis hitting tech workers,-0.8074,negative
Accenture to acquire Ookla,315,165,1780158538,2026-05-30 16:28:58,accenture to acquire ookla,0.0,neutral
Design Engineering Magazine,96,12,1780174014,2026-05-30 20:46:54,design engineering magazine,0.0,neutral
"Openrsync: An implementation of rsync, by the OpenBSD team",458,178,1780138308,2026-05-30 10:51:48,openrsync an implementation of rsync by the openbsd team,0.0,neutral
90% of the T Distribution,55,18,1779888580,2026-05-27 13:29:40,of the t distribution,0.0,neutral
Werner Herzog in conversation with Paul Cronin (2014),83,31,1780157591,2026-05-30 16:13:11,werner herzog in conversation with paul cronin,0.0,neutral
Gustav Klimt and Egon Schiele in Conversation (2018),38,6,1780007371,2026-05-28 22:29:31,gustav klimt and egon schiele in conversation,0.0,neutral
A zot extension that makes answering your coding agent's questions painless,12,0,1780230299,2026-05-31 12:24:59,a zot extension that makes answering your coding agents questions painless,0.296,positive
National Science Foundation Suspends New Research Grants to Top Universities,4,1,1780248860,2026-05-31 17:34:20,national science foundation suspends new research grants to top universities,0.4019,positive
Show HN: Komi-learn – continuous memory and self-improvement for coding agents,19,2,1780204300,2026-05-31 05:11:40,show hn komilearn continuous memory and selfimprovement for coding agents,0.0,neutral
Show HN: Helios – what plug-in solar could generate for any address in Britain,120,43,1780139317,2026-05-30 11:08:37,show hn helios what plugin solar could generate for any address in britain,0.0,neutral
Poor Sleep Linked to Rising Cancer Risk in Under-50s,5,0,1780251423,2026-05-31 18:17:03,poor sleep linked to rising cancer risk in unders,-0.8625,negative
Pandoc Templates,433,58,1780135002,2026-05-30 09:56:42,pandoc templates,0.0,neutral
Voxel Space (2017),297,65,1780151150,2026-05-30 14:25:50,voxel space,0.0,neutral
A compressed-spring model of spiral galaxy formation,5,0,1780233484,2026-05-31 13:18:04,a compressedspring model of spiral galaxy formation,0.0,neutral
Rotary GPU: Exploring Local Execution for Large MoE Models Under Limited VRAM,40,4,1780175140,2026-05-30 21:05:40,rotary gpu exploring local execution for large moe models under limited vram,-0.2263,negative
Show HN: Open Envelope – an open schema for defining AI agent teams,46,7,1780000220,2026-05-28 20:30:20,show hn open envelope an open schema for defining ai agent teams,0.0,neutral
Zig ELF Linker Improvements Devlog,222,97,1780162162,2026-05-30 17:29:22,zig elf linker improvements devlog,0.3182,positive
SQLite is all you need for durable workflows,693,379,1780077290,2026-05-29 17:54:50,sqlite is all you need for durable workflows,0.0,neutral
Claude Opus 4.8,1757,1361,1779986954,2026-05-28 16:49:14,claude opus,0.0,neutral
Zig: Build System Reworked,357,242,1780130308,2026-05-30 08:38:28,zig build system reworked,0.0,neutral
"AI models are free, private, and will never say 'no'",11,1,1780241124,2026-05-31 15:25:24,ai models are free private and will never say no,0.6355,positive
OpenRouter raises $113M Series B,448,236,1780162048,2026-05-30 17:27:28,openrouter raises m series b,0.0,neutral
Unlawful by design: Exposing the human rights costs of generative AI,10,0,1780242721,2026-05-31 15:52:01,unlawful by design exposing the human rights costs of generative ai,-0.2732,negative
